0,1,2,3,4,5,6,7,8,9,10
sausage,yogurt,tidbits,,,,,,,,
sausage,whole milk,,,,,,,,,
brown bread,soda,,,,,,,,,
sausage,shopping bags,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
root vegetables,chewing gum,margarine,,,,,,,,
dessert,shopping bags,,,,,,,,,
yogurt,curd,,,,,,,,,
other vegetables,brown bread,hard cheese,salty snack,,,,,,,
canned beer,baking powder,,,,,,,,,
citrus fruit,dessert,bottled water,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
beef,root vegetables,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
frankfurter,frankfurter,whole milk,canned fish,,,,,,,
beef,specialty chocolate,,,,,,,,,
bottled water,butter milk,,,,,,,,,
coffee,soda,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
yogurt,whole milk,,,,,,,,,
butter,candy,,,,,,,,,
sausage,yogurt,,,,,,,,,
specialty bar,pastry,,,,,,,,,
ice cream,grapes,,,,,,,,,
coffee,liquor,,,,,,,,,
oil,chewing gum,,,,,,,,,
bottled water,soda,domestic eggs,jam,whole milk,,,,,,
dessert,jam,,,,,,,,,
chicken,whole milk,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
chicken,nuts/prunes,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
dessert,other vegetables,other vegetables,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
frankfurter,newspapers,,,,,,,,,
female sanitary products,margarine,,,,,,,,,
sausage,yogurt,dishes,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,sweet spreads,,,,,,,,
bottled water,other vegetables,light bulbs,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
bottled beer,Instant food products,,,,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
butter milk,zwieback,pot plants,,,,,,,,
beverages,yogurt,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
tropical fruit,sausage,ham,root vegetables,turkey,pastry,pasta,soda,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
napkins,margarine,,,,,,,,,
soda,canned beer,white bread,berries,,,,,,,
rolls/buns,seasonal products,margarine,,,,,,,,
berries,condensed milk,whipped/sour cream,,,,,,,,
canned beer,shopping bags,,,,,,,,,
misc. beverages,waffles,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
cat food,other vegetables,,,,,,,,,
chocolate,coffee,,,,,,,,,
sausage,grapes,bottled beer,,,,,,,,
ham,bottled beer,,,,,,,,,
coffee,soda,,,,,,,,,
sausage,root vegetables,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
